#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
          14            0.142887         0.000761415          0.00131686         0.000565561
          14            0.428661           0.0362887           0.0387396          0.00475197
          14            0.714435           0.0750723            0.110676           0.0108632
          14             1.00021            0.259189            0.189569            0.011096
          14             1.28598            0.368509            0.321268           0.0166855
          14             1.57176            0.390655            0.328084           0.0144073
          14             1.85753            0.332398            0.390254           0.0144508
          14              2.1433            0.424886            0.404606           0.0173751
          14             2.42908            0.245808            0.371979           0.0161289
          14             2.71485             0.31717            0.345552           0.0140023
          14             3.00062             0.31947            0.284366           0.0106768
          14              3.2864            0.166377            0.213687          0.00975416
          14             3.57217            0.128631            0.133989          0.00741009
          14             3.85795            0.112706            0.121224           0.0109217
          14             4.14372            0.148654            0.108658          0.00970453
          14             4.42949           0.0847277           0.0584161          0.00815596
          14             4.71527           0.0360457           0.0382397          0.00634946
          14             5.00104           0.0343123           0.0180958          0.00404479
          14             5.28682           0.0159411          0.00798213          0.00225349
          14             5.57259          0.00166863          0.00518063          0.00179318
          14             5.85836                   0             0.00268          0.00100899
          14             6.14414                   0         0.000637599         0.000573697
          14             6.42991                   0          0.00190817          0.00125922
          14             6.71568                   0          0.00206438          0.00135562
          14             7.00146                   0         9.83591e-05         9.47812e-05
          14             7.28723                   0                   0                   0
          14             7.57301                   0                   0                   0
          14             7.85878                   0                   0                   0
          14             8.14455                   0                   0                   0
          14             8.43033                   0                   0                   0


          15            0.142887          0.00720915          0.00170967         0.000650117
          15            0.428661           0.0464625           0.0392545          0.00446298
          15            0.714435            0.138642             0.11254           0.0102977
          15             1.00021            0.276329            0.195353           0.0117676
          15             1.28598            0.384207            0.325464            0.016092
          15             1.57176            0.305344            0.326568           0.0135263
          15             1.85753            0.336173            0.386649           0.0139299
          15              2.1433            0.290358            0.396989           0.0178081
          15             2.42908            0.336367            0.369605           0.0152274
          15             2.71485            0.240737            0.338564           0.0147094
          15             3.00062            0.373401            0.290301           0.0114972
          15              3.2864            0.203606            0.213015          0.00912701
          15             3.57217            0.205922            0.138785          0.00832443
          15             3.85795           0.0620635             0.11728           0.0108825
          15             4.14372            0.106647            0.108524          0.00905849
