#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
         326             1.43636             1.42847         0.000182541
         327             1.43645              1.4285         0.000183603
         328             1.43653             1.42852          0.00018467
         329             1.43662             1.42855          0.00018574
         330             1.43671             1.42857         0.000186816
         331             1.43679              1.4286         0.000187895
         332             1.43688             1.42862         0.000188979
         333             1.43697             1.42865         0.000190068
         334             1.43706             1.42867          0.00019116
         335             1.43715              1.4287         0.000192258
         336             1.43724             1.42872          0.00019336
         337             1.43733             1.42875         0.000194466
         338             1.43742             1.42877         0.000195577
         339             1.43752              1.4288         0.000196692
         340             1.43761             1.42883         0.000197812
         341              1.4377             1.42885         0.000198937
         342             1.43779             1.42888         0.000200066
         343             1.43789              1.4289           0.0002012
         344             1.43798             1.42893         0.000202339
         345             1.43808             1.42896         0.000203482
         346             1.43817             1.42898          0.00020463
         347             1.43827             1.42901         0.000205783
         348             1.43837             1.42904          0.00020694
         349             1.43846             1.42906         0.000208102
         350             1.43856             1.42909         0.000209269
         351             1.43866             1.42912         0.000210441
         352             1.43876             1.42915         0.000211618
         353             1.43886             1.42917         0.000212799
         354             1.43896              1.4292         0.000213986
         355             1.43906             1.42923         0.000215177
         356             1.43916             1.42926         0.000216373
         357             1.43926             1.42929         0.000217574
         358             1.43936             1.42931          0.00021878
         359             1.43947             1.42934         0.000219992
         360             1.43957             1.42937         0.000221208
         361             1.43967              1.4294         0.000222429
         362             1.43978             1.42943         0.000223655
         363             1.43988             1.42946         0.000224887
         364             1.43999             1.42949         0.000226123
         365              1.4401             1.42951         0.000227365
         366              1.4402             1.42954         0.000228612
         367             1.44031             1.42957         0.000229864
         368             1.44042              1.4296         0.000231121
         369             1.44053             1.42963         0.000232384
         370             1.44064             1.42966         0.000233652
         371             1.44075             1.42969         0.000234925
         372             1.44086             1.42972         0.000236203
         373             1.44097             1.42975         0.000237487
         374             1.44108             1.42978         0.000238776
         375             1.44119             1.42981         0.000240071
         376             1.44131             1.42984          0.00024137
         377             1.44142             1.42987         0.000242676
         378             1.44153              1.4299         0.000243987
         379             1.44165             1.42994         0.000245303
         380             1.44177             1.42997         0.000246625
         381             1.44188                1.43         0.000247952
         382               1.442             1.43003         0.000249285
         383             1.44212             1.43006         0.000250624
         384             1.44223             1.43009         0.000251968
         385             1.44235             1.43012         0.000253318
         386             1.44247             1.43016         0.000254674
         387             1.44259             1.43019         0.000256035
         388             1.44271             1.43022         0.000257402
         389             1.44284             1.43025         0.000258775
         390             1.44296             1.43029         0.000260154
         391             1.44308             1.43032         0.000261538
         392              1.4432             1.43035         0.000262929
         393             1.44333             1.43038         0.000264325
         394             1.44345             1.43042         0.000265727
         395             1.44358             1.43045         0.000267135
         396             1.44371             1.43048         0.000268549
         397             1.44383             1.43052         0.000269969
         398             1.44396             1.43055         0.000271396
         399             1.44409             1.43059         0.000272828
         400             1.44422             1.43062         0.000274266
         401             1.44435             1.43065          0.00027571
         402             1.44448             1.43069         0.000277161
         403             1.44461             1.43072         0.000278618
         404             1.44474             1.43076         0.000280081
         405             1.44488             1.43079          0.00028155
         406             1.44501             1.43083         0.000283026
         407             1.44514             1.43086         0.000284507
         408             1.44528              1.4309         0.000285996
         409             1.44541             1.43093          0.00028749
         410             1.44555             1.43097         0.000288991
         411             1.44569               1.431         0.000290498
         412             1.44583             1.43104         0.000292012
         413             1.44597             1.43108         0.000293533
         414              1.4461             1.43111         0.000295059
         415             1.44625             1.43115         0.000296593
         416             1.44639             1.43119         0.000298133
         417             1.44653             1.43122          0.00029968
         418             1.44667             1.43126         0.000301233
         419             1.44682              1.4313         0.000302793
         420             1.44696             1.43133          0.00030436
         421             1.44711             1.43137         0.000305934
         422             1.44725             1.43141         0.000307514
         423              1.4474             1.43145         0.000309101
         424             1.44755             1.43149         0.000310695
         425             1.44769             1.43152         0.000312296
         426             1.44784             1.43156         0.000313904
         427             1.44799              1.4316         0.000315519
         428             1.44815             1.43164         0.000317141
         429              1.4483             1.43168          0.00031877
         430             1.44845             1.43172         0.000320406
         431              1.4486             1.43176          0.00032205
         432             1.44876              1.4318           0.0003237
         433             1.44891             1.43183         0.000325358
         434             1.44907             1.43187         0.000327023
         435             1.44923             1.43191         0.000328695
         436             1.44939             1.43195         0.000330374
         437             1.44954             1.43199         0.000332061
         438              1.4497             1.43204         0.000333756
         439             1.44987             1.43208         0.000335458
         440             1.45003             1.43212         0.000337167
         441             1.45019             1.43216         0.000338884
         442             1.45035              1.4322         0.000340608
         443             1.45052             1.43224          0.00034234
         444             1.45068             1.43228          0.00034408
         445             1.45085             1.43232         0.000345827
         446             1.45102             1.43237         0.000347582
         447             1.45118             1.43241         0.000349345
         448             1.45135             1.43245         0.000351116
         449             1.45152             1.43249         0.000352895
         450              1.4517             1.43253         0.000354681
         451             1.45187             1.43258         0.000356476
         452             1.45204             1.43262         0.000358278
         453             1.45222             1.43266         0.000360089
         454             1.45239             1.43271         0.000361908
         455             1.45257             1.43275         0.000363735
         456             1.45274              1.4328          0.00036557
         457             1.45292             1.43284         0.000367413
         458              1.4531             1.43288         0.000369265
         459             1.45328             1.43293         0.000371125
         460             1.45346             1.43297         0.000372994
         461             1.45365             1.43302         0.000374871
         462             1.45383             1.43306         0.000376757
         463             1.45401             1.43311         0.000378651
         464              1.4542             1.43315         0.000380554
         465             1.45439              1.4332         0.000382465
         466             1.45458             1.43324         0.000384386
         467             1.45476             1.43329         0.000386315
         468             1.45495             1.43334         0.000388253
         469             1.45515             1.43338           0.0003902
         470             1.45534             1.43343         0.000392156
         471             1.45553             1.43348         0.000394121
         472             1.45573             1.43352         0.000396095
         473             1.45592             1.43357         0.000398078
         474             1.45612             1.43362         0.000400071
         475             1.45632             1.43367         0.000402072
         476             1.45652             1.43371         0.000404084
         477             1.45672             1.43376         0.000406104
         478             1.45692             1.43381         0.000408134
         479             1.45712             1.43386         0.000410174
         480             1.45733             1.43391         0.000412223
         481             1.45753             1.43396         0.000414282
         482             1.45774             1.43401         0.000416351
         483             1.45795             1.43406         0.000418429
         484             1.45816             1.43411         0.000420518
         485             1.45837             1.43416         0.000422616
         486             1.45858             1.43421         0.000424724
         487              1.4588             1.43426         0.000426843
         488             1.45901             1.43431         0.000428971
         489             1.45923             1.43436          0.00043111
         490             1.45944             1.43441         0.000433259
         491             1.45966             1.43446         0.000435419
         492             1.45988             1.43451         0.000437589
         493             1.46011             1.43457          0.00043977
         494             1.46033             1.43462         0.000441961
         495             1.46055             1.43467         0.000444163
         496             1.46078             1.43472         0.000446376
         497             1.46101             1.43478         0.000448599
         498             1.46124             1.43483         0.000450834
         499             1.46147             1.43488         0.000453079
         500              1.4617             1.43494         0.000455336
         501             1.46193             1.43499         0.000457604
         502             1.46217             1.43504         0.000459884
         503              1.4624              1.4351         0.000462174
         504             1.46264             1.43515         0.000464476
         505             1.46288             1.43521          0.00046679
         506             1.46312             1.43526         0.000469115
         507             1.46336             1.43532         0.000471453
         508             1.46361             1.43537         0.000473802
         509             1.46385             1.43543         0.000476163
         510              1.4641             1.43549         0.000478535
         511             1.46435             1.43554         0.000480921
         512              1.4646              1.4356         0.000483318
         513             1.46485             1.43566         0.000485727
         514              1.4651             1.43571          0.00048815
         515             1.46536             1.43577         0.000490584
         516             1.46562             1.43583         0.000493031
         517             1.46588             1.43589         0.000495491
         518             1.46614             1.43595         0.000497964
         519              1.4664               1.436          0.00050045
         520             1.46666             1.43606         0.000502949
         521             1.46693             1.43612         0.000505461
         522              1.4672             1.43618         0.000507986
         523             1.46747             1.43624         0.000510525
         524             1.46774              1.4363         0.000513077
         525             1.46801             1.43636         0.000515643
         526             1.46829             1.43642         0.000518223
         527             1.46857             1.43648         0.000520816
         528             1.46884             1.43655         0.000523423
         529             1.46913             1.43661         0.000526045
         530             1.46941             1.43667         0.000528681
         531             1.46969             1.43673         0.000531331
         532             1.46998             1.43679         0.000533995
         533             1.47027             1.43686         0.000536674
         534             1.47056             1.43692         0.000539368
         535             1.47085             1.43698         0.000542077
         536             1.47115             1.43705           0.0005448
         537             1.47145             1.43711         0.000547539
         538             1.47175             1.43718         0.000550293
         539             1.47205             1.43724         0.000553063
         540             1.47235              1.4373         0.000555847
         541             1.47266             1.43737         0.000558648
         542             1.47297             1.43744         0.000561464
         543             1.47328              1.4375         0.000564296
         544             1.47359             1.43757         0.000567144
         545              1.4739             1.43763         0.000570009
         546             1.47422              1.4377         0.000572889
         547             1.47454             1.43777         0.000575786
         548             1.47486             1.43784           0.0005787
         549             1.47518              1.4379          0.00058163
         550             1.47551             1.43797         0.000584578
