#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
          13             3.59519            0.192596            0.147169          0.00887047
          13             3.88281            0.064322           0.0829309          0.00652798
          13             4.17042           0.0906239           0.0581632          0.00577977
          13             4.45804            0.030487           0.0315147          0.00554076
          13             4.74565           0.0129739           0.0255862          0.00537058
          13             5.03327            0.018994           0.0207188          0.00263922
          13             5.32088          0.00735615          0.00942022          0.00326418
          13              5.6085          0.00127163          0.00191054          0.00100634
          13             5.89612                   0          0.00210246          0.00131467
          13             6.18373                   0         0.000683486         0.000348868
          13             6.47135                   0         0.000193159         0.000185581
          13             6.75896                   0         0.000693392         0.000666189
          13             7.04658                   0                   0                   0
          13             7.33419                   0                   0                   0
          13             7.62181                   0                   0                   0
          13             7.90942                   0                   0                   0
          13             8.19704                   0                   0                   0
          13             8.48465                   0                   0                   0


          14            0.143808           0.0142938           0.0083001          0.00151959
          14            0.431423            0.064161           0.0480909          0.00448988
          14            0.719038           0.0806922            0.141349          0.00851264
          14             1.00665            0.256145            0.187228           0.0112855
          14             1.29427             0.30899            0.325109            0.013116
          14             1.58188             0.41666            0.417625           0.0168793
          14              1.8695            0.361127            0.394844           0.0104143
          14             2.15712              0.2287            0.359393            0.014927
          14             2.44473            0.424741             0.36438            0.011495
          14             2.73235            0.314608            0.339276           0.0176651
          14             3.01996            0.333296            0.300212           0.0176044
          14             3.30758             0.32132            0.212042           0.0127398
          14             3.59519            0.139863            0.146647           0.0082522
          14             3.88281            0.117714           0.0854155          0.00651737
          14             4.17042           0.0844428           0.0600403          0.00566355
          14             4.45804           0.0085151           0.0298718          0.00538303
          14             4.74565          0.00148089           0.0238644          0.00525573
          14             5.03327          8.0483e-05           0.0192446          0.00283265
          14             5.32088         3.21932e-05          0.00874965          0.00309914
          14              5.6085                   0          0.00177408          0.00094367
          14             5.89612                   0          0.00195229          0.00122931
          14             6.18373                   0         0.000634666         0.000327347
          14             6.47135                   0         0.000179362         0.000172838
          14             6.75896                   0         0.000643864         0.000620443
          14             7.04658                   0                   0                   0
          14             7.33419                   0                   0                   0
          14             7.62181                   0                   0                   0
          14             7.90942                   0                   0                   0
          14             8.19704                   0                   0                   0
          14             8.48465                   0                   0                   0


          15            0.143808         0.000193159          0.00775963          0.00151134
          15            0.431423             0.02899           0.0468175           0.0043674
          15            0.719038           0.0617948            0.136045          0.00945399
          15             1.00665             0.22458            0.189718           0.0108043
          15             1.29427            0.324524             0.32507           0.0122417
          15             1.58188            0.431695            0.418563             0.01578
          15              1.8695            0.329256            0.390471           0.0105982
          15             2.15712            0.329417            0.357395            0.014065
          15             2.44473            0.381087            0.365494           0.0107825
          15             2.73235             0.42487            0.344982           0.0173846
          15             3.01996            0.271614            0.298305           0.0165337
          15             3.30758            0.321143            0.219315           0.0138116
          15             3.59519            0.178061            0.148741          0.00796336
          15             3.88281           0.0922657           0.0858721          0.00609886
          15             4.17042           0.0474045           0.0591979          0.00534826
          15             4.45804           0.0233884           0.0294396          0.00504149
          15             4.74565          0.00542455            0.022635          0.00504707
          15             5.03327          0.00115896           0.0180389          0.00288904
          15             5.32088                   0          0.00816634          0.00294691
          15              5.6085                   0           0.0016558         0.000888139
          15             5.89612                   0          0.00182213          0.00115423
          15             6.18373                   0         0.000592355         0.000308246
          15             6.47135                   0         0.000167405         0.000161728
          15             6.75896                   0          0.00060094         0.000580563
          15             7.04658                   0                   0                   0
          15             7.33419                   0                   0                   0
          15             7.62181                   0                   0                   0
          15             7.90942                   0                   0                   0
          15             8.19704                   0                   0                   0
          15             8.48465                   0                   0                   0


          16            0.143808                   0          0.00727466          0.00149267
          16            0.431423           0.0326922           0.0459347          0.00418271
          16            0.719038            0.140813            0.136343          0.00886781
          16             1.00665            0.209449            0.190951           0.0101992
          16             1.29427            0.224258            0.318769           0.0129973
          16             1.58188            0.364057            0.415156            0.015157
          16              1.8695            0.395622            0.390793          0.00994074
          16             2.15712             0.39588              0.3598             0.01339
          16             2.44473            0.345964            0.364273           0.0101774
          16             2.73235             0.43155            0.350393           0.0171193
          16             3.01996            0.291204            0.297862           0.0155063
          16             3.30758            0.252523            0.221391           0.0131034
          16             3.59519            0.246423            0.154846          0.00952254
          16             3.88281            0.113481           0.0875977          0.00595679
          16             4.17042           0.0295051           0.0573421          0.00532624
          16             4.45804          0.00344467           0.0278149          0.00498131
          16             4.74565                   0           0.0212203          0.00492591
          16             5.03327                   0           0.0169115          0.00292018
          16             5.32088                   0          0.00765594          0.00280658
          16              5.6085                   0          0.00155232         0.000838638
          16             5.89612                   0          0.00170825          0.00108769
          16             6.18373                   0         0.000555333         0.000291195
          16             6.47135                   0         0.000156942         0.000151958
          16             6.75896                   0         0.000563381         0.000545491
          16             7.04658                   0                   0                   0
          16             7.33419                   0                   0                   0
          16             7.62181                   0                   0                   0
          16             7.90942                   0                   0                   0
          16             8.19704                   0                   0                   0
          16             8.48465                   0                   0                   0


          17            0.143808           0.0018833          0.00695752          0.00143816
          17            0.431423            0.027493           0.0448499          0.00407492
          17            0.719038            0.108089            0.134681           0.0085005
          17             1.00665            0.247936            0.194303           0.0101351
          17             1.29427             0.29394            0.317308           0.0123145
          17             1.58188            0.369015            0.412442           0.0145064
          17              1.8695            0.435349            0.393414          0.00969534
          17             2.15712            0.387992            0.361459           0.0127047
          17             2.44473            0.384499            0.365463          0.00964806
          17             2.73235             0.37526            0.351856           0.0161747
          17             3.01996            0.319759             0.29915           0.0146476
          17             3.30758            0.151936            0.217305           0.0129539
          17             3.59519            0.164604             0.15542          0.00897967
          17             3.88281           0.0647083           0.0862513          0.00575655
          17             4.17042           0.0406117            0.056358          0.00510305
          17             4.45804           0.0512355           0.0291926          0.00487508
          17             4.74565           0.0376338           0.0221858          0.00472983
          17             5.03327           0.0141167           0.0167471          0.00275303
          17             5.32088          0.00080483          0.00725294          0.00267027
          17              5.6085                   0            0.001461         0.000794262
          17             5.89612                   0          0.00160777          0.00102834
          17             6.18373                   0         0.000522666         0.000275892
          17             6.47135                   0          0.00014771           0.0001433
          17             6.75896                   0         0.000530241         0.000514409
          17             7.04658                   0                   0                   0
          17             7.33419                   0                   0                   0
          17             7.62181                   0                   0                   0
          17             7.90942                   0                   0                   0
          17             8.19704                   0                   0                   0
          17             8.48465                   0                   0                   0


          18            0.143808           0.0023823          0.00670334          0.00138054
          18            0.431423           0.0286037           0.0439473          0.00394722
          18            0.719038           0.0920243            0.132311          0.00835206
          18             1.00665            0.253409            0.197587             0.01009
          18             1.29427            0.381071            0.320851           0.0121292
          18             1.58188            0.321594            0.407395            0.014552
          18              1.8695            0.346624            0.390815           0.0094988
          18             2.15712            0.434656            0.365525           0.0126329
          18             2.44473            0.362125            0.365277          0.00911384
          18             2.73235            0.315526            0.349837           0.0154015
          18             3.01996            0.404926            0.305026           0.0149663
          18             3.30758            0.211332            0.216973           0.0122385
          18             3.59519            0.110519            0.152926          0.00882047
          18             3.88281           0.0756379           0.0856616          0.00546685
          18             4.17042           0.0527325           0.0561566          0.00482352
          18             4.45804           0.0254487           0.0289846          0.00460868
          18             4.74565           0.0421087           0.0232927          0.00459474
          18             5.03327           0.0145191           0.0166233          0.00260287
          18             5.32088          0.00162576          0.00694032          0.00254015
          18              5.6085                   0          0.00137984         0.000754272
          18             5.89612                   0          0.00151845         0.000975085
          18             6.18373                   0         0.000493629         0.000262089
          18             6.47135                   0         0.000139504         0.000135573
          18             6.75896                   0         0.000500783         0.000486674
          18             7.04658                   0                   0                   0
          18             7.33419                   0                   0                   0
          18             7.62181                   0                   0                   0
          18             7.90942                   0                   0                   0
          18             8.19704                   0                   0                   0
          18             8.48465                   0                   0                   0


          19            0.143808          0.00642254          0.00668856          0.00130796
          19            0.431423           0.0582214           0.0446986           0.0038103
          19            0.719038            0.159871            0.133762          0.00803745
          19             1.00665             0.20821            0.198146          0.00957441
          19             1.29427            0.314511            0.320517           0.0114954
          19             1.58188            0.412878            0.407684            0.013789
          19              1.8695            0.287727            0.385389            0.010434
          19             2.15712            0.463646            0.370689           0.0129808
          19             2.44473            0.421425            0.368233          0.00910066
          19             2.73235            0.390874            0.351997           0.0147416
          19             3.01996            0.236282            0.301408           0.0146094
          19             3.30758            0.130447            0.212419           0.0124128
          19             3.59519            0.115815            0.150973          0.00856977
          19             3.88281            0.102278           0.0865362          0.00524861
          19             4.17042            0.080145           0.0574191            0.004732
          19             4.45804           0.0181731           0.0284156           0.0044011
          19             4.74565           0.0252556            0.023396          0.00435407
          19             5.03327          0.00296177           0.0159043          0.00256326
          19             5.32088           0.0256097          0.00792292          0.00258955
          19              5.6085          0.00167405          0.00139532         0.000714733
          19             5.89612            0.010833          0.00200869          0.00103972
