# GENERATION:    START CITY:        CITY 2:        CITY 3:        CITY 4:        CITY 5:        CITY 6:        CITY 7:        CITY 8:        CITY 9:       CITY 10:       CITY 11:       CITY 12:       CITY 13:       CITY 14:       CITY 15:       CITY 16:       CITY 17:       CITY 18:       CITY 19:       CITY 20:       CITY 21:       CITY 22:       CITY 23:       CITY 24:       CITY 25:       CITY 26:       CITY 27:       CITY 28:       CITY 29:       CITY 30:       CITY 31:       CITY 32:       CITY 33:       CITY 34:     LAST CITY:
           67              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             33             10             19             30              4             22             13              3              8             17              5             32             31             25             26              1
           68              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             33             10             19             30              4             22             13              3              8             17              5             32             31             25             26              1
           69              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             33             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           70              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             12             13              3              8             17              5             32             31             25             26              1
           71              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             12             13              3              8             17              5             32             31             25             26              1
           72              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             12             13              3              8             17              5             32             31             25             26              1
           73              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             12             13              3              8             17              5             32             31             25             26              1
           74              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           75              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           76              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           77              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           78              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           79              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           80              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           81              1              6             23              7             20              9             11             34             27             28             18             24             16             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           82              1              6             23              7             20              9             11             34             27             28             18             24             16             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           83              1              6             23              7             20              9             11             34             27             28             18             24             16             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           84              1              6             23              7             20              9             11             34             16             27             28             18             24             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           85              1              6             23              7             20              9             11             34             16             27             28             18             24             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           86              1              6             23              7             20              9             11             34             16             27             28             18             24             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           87              1              6             23              7             20              9             11             34             16             27             28             18             24             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           88              1              6             23              7             20              9             11             34             16             27             28             18             24             29             15             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           89              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             32             17              5             25              1
           90              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             32             17              5             25              1
           91              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           92              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           93              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           94              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           95              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           96              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           97              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           98              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
           99              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          100              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          101              1              6             23              7             20              9             11             34             27             28             18             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          102              1              6             23              7             20              9             11             34             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          103              1              6             23              7             20              9             11             34             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          104              1              6             23              7             20              9             11             34             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          105              1              6             23              7             20              9             11             34             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          106              1              6             23              7             20              9             11             34             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          107              1              6             23              7             20              9             11             34             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          108              1              6             23              7             20              9             11             34             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          109              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          110              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          111              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          112              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          113              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          114              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          115              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          116              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          117              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          118              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          119              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          120              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          121              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          122              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          123              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          124              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          125              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          126              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          127              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          128              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
