#                 X:                  Y:                  Z:
           -0.863831                   0                   0
            0.641186                   0                   0
            0.641186                   0                   0
            0.641186                   0                   0
            0.641186                   0                   0
            0.641186                   0                   0
            0.726764                   0                   0
            0.726764                   0                   0
            0.726764                   0                   0
            0.343599                   0                   0
            0.343599                   0                   0
            0.343599                   0                   0
            0.343599                   0                   0
            0.343599                   0                   0
            0.343599                   0                   0
           -0.438905                   0                   0
          -0.0396204                   0                   0
           -0.517842                   0                   0
           -0.387833                   0                   0
           -0.695985                   0                   0
            0.970994                   0                   0
            0.970994                   0                   0
            0.970994                   0                   0
            0.970994                   0                   0
            0.970994                   0                   0
            0.435337                   0                   0
            0.435337                   0                   0
            0.435337                   0                   0
            0.435337                   0                   0
             1.44962                   0                   0
             1.44962                   0                   0
            0.550794                   0                   0
            0.550794                   0                   0
             1.34314                   0                   0
             1.34314                   0                   0
             1.34314                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
           -0.985418                   0                   0
            0.397214                   0                   0
            0.755412                   0                   0
            0.755412                   0                   0
            0.755412                   0                   0
            0.755412                   0                   0
            -1.72048                   0                   0
            -1.72048                   0                   0
            -1.72048                   0                   0
            -1.72048                   0                   0
          -0.0292308                   0                   0
          -0.0292308                   0                   0
             1.45957                   0                   0
             1.45957                   0                   0
          0.00565295                   0                   0
         -0.00874639                   0                   0
            0.545836                   0                   0
            -1.43764                   0                   0
           0.0904634                   0                   0
            -1.51543                   0                   0
           -0.993357                   0                   0
           -0.993357                   0                   0
           -0.993357                   0                   0
           -0.993357                   0                   0
           -0.993357                   0                   0
           -0.993357                   0                   0
           -0.993357                   0                   0
           -0.993357                   0                   0
             1.05307                   0                   0
           -0.947151                   0                   0
           -0.947151                   0                   0
            0.867606                   0                   0
            0.867606                   0                   0
            0.867606                   0                   0
            0.867606                   0                   0
            0.867606                   0                   0
            0.867606                   0                   0
            0.867606                   0                   0
            0.867606                   0                   0
            -1.08592                   0                   0
            0.604757                   0                   0
            -1.17566                   0                   0
            -1.17566                   0                   0
            -1.17566                   0                   0
            -1.17566                   0                   0
            0.614061                   0                   0
            0.614061                   0                   0
            0.614061                   0                   0
           -0.290716                   0                   0
           -0.850572                   0                   0
            -1.44469                   0                   0
            0.733086                   0                   0
            0.733086                   0                   0
           -0.161509                   0                   0
             1.79854                   0                   0
             1.88212                   0                   0
            0.117704                   0                   0
