#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         296           -0.443824            -0.46771           0.0232713
         297           -0.443824            -0.46763           0.0231931
         298           -0.443824            -0.46755           0.0231154
         299           -0.443824            -0.46747           0.0230382
         300           -0.398315            -0.46724           0.0229626
         301           -0.322483           -0.466759           0.0228913
         302           -0.317796           -0.466266           0.0228209
         303          -0.0289975           -0.464822           0.0227911
         304          -0.0289975           -0.463389           0.0227612
         305          -0.0289975           -0.461965           0.0227311
         306           -0.771331           -0.462976           0.0226793
         307            -1.06831           -0.464947            0.022691
         308            0.299689           -0.462465           0.0227527
         309            0.299689           -0.459998           0.0228124
         310           -0.858099           -0.461282           0.0227749
         311           -0.858099           -0.462558           0.0227374
         312           -0.858099           -0.463826           0.0226998
         313           -0.858099           -0.465086           0.0226622
         314            0.679392           -0.461441           0.0228813
         315             1.17018           -0.456261           0.0233876
         316             1.17018           -0.451114           0.0238732
         317           -0.271652           -0.450548           0.0238046
         318            -1.06426           -0.452478           0.0238078
         319            -1.06426           -0.454396           0.0238103
         320           -0.298718           -0.453909           0.0237409
         321          -0.0738427           -0.452725           0.0236964
         322            -0.30708           -0.452273           0.0236271
         323           -0.425341            -0.45219           0.0235541
         324          0.00235487           -0.450787           0.0235232
         325            -1.02745           -0.452561           0.0235176
         326          -0.0124417           -0.451211           0.0234842
         327          -0.0124417           -0.449869           0.0234507
         328           -0.631914           -0.450424           0.0233858
         329            0.925132           -0.446243           0.0236855
         330            0.925132           -0.442088           0.0239755
         331           -0.861578           -0.443355           0.0239365
         332           -0.861578           -0.444615           0.0238976
         333           -0.567021           -0.444982           0.0238286
         334            -0.29888           -0.444545           0.0237613
         335             -1.0976           -0.446494           0.0237702
         336             -1.0976           -0.448432           0.0237783
         337           -0.447448           -0.448429           0.0237078
         338           -0.621561           -0.448941           0.0236432
         339           -0.621561            -0.44945           0.0235789
         340           -0.621561           -0.449957            0.023515
         341           -0.356129           -0.449682           0.0234476
         342           -0.356129           -0.449408           0.0233807
