#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
            0.051292            0.966616             0.57556           -0.390708           0.0190902                 0.7            0.930665
            0.051094             0.86971            0.580209           -0.408099           0.0199426                0.92            0.842938
            0.050896            0.700169            0.575706           -0.414905           0.0203564                0.76            0.888879
            0.050698            0.840145            0.573053           -0.425799           0.0207804                0.66           0.0943258
              0.0505             0.88098            0.575036           -0.388424           0.0189958                0.72             1.11129
            0.050302            0.745657            0.579764           -0.432883           0.0211204                0.86        -0.000161575
            0.050104            0.658261            0.579585           -0.359677           0.0175899                0.68           -0.437979
            0.049906            0.636511            0.578635           -0.368328           0.0179983                0.84            -1.09348
            0.049708            0.532544            0.575476            -0.35618           0.0173966                0.76          -0.0938423
             0.04951            0.844113            0.569545           -0.409461           0.0200249                0.94            0.480616
            0.049312            0.935655            0.563085           -0.409314           0.0200034                0.84            -1.05876
            0.049114             0.93093            0.555967           -0.346856           0.0170043                0.84            -1.59198
            0.048916             0.69136            0.557043           -0.373418           0.0183444                0.94            0.290188
            0.048718            0.773781            0.556305           -0.419331           0.0205146                0.72            -1.00868
             0.04852            0.757964            0.557896           -0.423315           0.0206892                0.58            0.180147
            0.048322            0.688517            0.563571           -0.370747           0.0181767                0.68           0.0127618
            0.048124            0.697371            0.558487           -0.390564           0.0190751                0.86           -0.698756
            0.047926            0.653791            0.560809           -0.381366           0.0186465                0.82            0.826345
            0.047728            0.803701            0.559013            -0.42632           0.0208586                0.86            -1.18776
             0.04753             0.80474            0.562287           -0.419699           0.0204935                0.78             1.28116
            0.047332            0.760454            0.562457           -0.406534           0.0198772                0.62            -1.16717
            0.047134            0.797867            0.562421           -0.423891           0.0207138                 0.8            0.731261
            0.046936            0.747018            0.561923           -0.418526           0.0204726                0.48           -0.974287
            0.046738            0.726022             0.56478           -0.416227           0.0203423                0.64           -0.954535
             0.04654            0.802783            0.564386           -0.425299           0.0208655                 0.5           -0.850355
            0.046342            0.815303            0.566327           -0.432732           0.0211647                0.68            -1.18897
            0.046144            0.694879            0.565326           -0.425694           0.0208206                0.64           -0.837059
            0.045946            0.885155            0.566976           -0.403338           0.0197541                0.66             1.51892
            0.045748            0.793937            0.563271           -0.418337           0.0204685                0.76             1.23697
             0.04555            0.663175            0.562208           -0.415878            0.020348                0.72           -0.783388
            0.045352            0.597765            0.562902           -0.356611           0.0174574                0.84            0.446267
            0.045154             0.57492            0.564886           -0.292947           0.0144087                0.94           -0.652527
