#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         264           -0.810319           -0.504209           0.0231224
         265           -0.810319           -0.505364            0.023064
         266           -0.810319           -0.506511           0.0230058
         267           -0.252861           -0.505561           0.0229392
         268           -0.252861           -0.504618            0.022873
         269           -0.252861           -0.503682           0.0228071
         270           -0.458816           -0.503516           0.0227232
         271           -0.458816           -0.503351             0.02264
         272           -0.159993           -0.502088           0.0225919
         273           -0.788885           -0.503139           0.0225336
         274           -0.788885           -0.504182           0.0224755
         275           -0.788885           -0.505217           0.0224176
         276           -0.404444           -0.504852           0.0223393
         277           -0.404444            -0.50449           0.0222616
         278          0.00218923           -0.502667            0.022256
         279          0.00218923           -0.500857           0.0222497
         280           -0.669155           -0.501458           0.0221783
         281           -0.669155           -0.502055           0.0221074
         282           -0.669155           -0.502648            0.022037
         283           -0.669155           -0.503236            0.021967
         284           -0.669155            -0.50382           0.0218974
         285            -0.31594           -0.503161           0.0218305
         286           -0.411657           -0.502841           0.0217565
         287           -0.413202           -0.502529           0.0216829
         288         -0.00900426           -0.500815           0.0216752
         289            -0.31362           -0.500168           0.0216099
         290           -0.196709           -0.499121           0.0215607
         291           -0.196709           -0.498082           0.0215117
         292           -0.196709            -0.49705           0.0214627
         293           -0.196709           -0.496025           0.0214139
         294           -0.196709           -0.495007           0.0213653
         295           -0.196709           -0.493996           0.0213168
         296           -0.196709           -0.492991           0.0212684
         297           -0.196709           -0.491994           0.0212202
         298           -0.196709           -0.491003           0.0211721
         299           -0.196709           -0.490018           0.0211242
         300           -0.196709           -0.489041           0.0210764
         301             -0.7081           -0.489768           0.0210189
         302             -0.7081           -0.490491           0.0209617
         303             -0.7081            -0.49121           0.0209048
         304             -0.7081           -0.491923           0.0208482
         305           -0.508611           -0.491978             0.02078
         306           -0.508611           -0.492032           0.0207121
         307           -0.508611           -0.492086           0.0206447
         308           -0.508611            -0.49214           0.0205778
         309           -0.612739            -0.49253           0.0205149
         310           -0.612739           -0.492918           0.0204524
         311           -0.256849           -0.492159           0.0204007
         312          -0.0769536           -0.490828           0.0203787
         313           -0.822647           -0.491888           0.0203411
         314           -0.017943           -0.490379           0.0203322
         315           -0.017943           -0.488879           0.0203229
         316           -0.017943           -0.487389           0.0203132
         317          0.00183725           -0.485845           0.0203077
         318          0.00183725           -0.484312           0.0203016
         319          0.00183725           -0.482788           0.0202951
         320            -1.07788           -0.484647           0.0203167
         321         -0.00629282           -0.483157            0.020308
         322           -0.597451           -0.483512            0.020248
         323            0.794215           -0.479556           0.0205681
         324            0.794215           -0.475625            0.020877
         325           -0.836846           -0.476736           0.0208423
         326           -0.836846           -0.477841           0.0208076
         327           -0.595343             -0.4782           0.0207471
         328           -0.274166           -0.477578           0.0206932
         329            -1.10214           -0.479477           0.0207172
         330            -1.10214           -0.481364           0.0207401
         331           -0.475255           -0.481345           0.0206775
         332           -0.593286           -0.481682            0.020618
         333           -0.593286           -0.482017           0.0205588
         334           -0.593286           -0.482351           0.0204999
         335            -0.33007           -0.481896           0.0204438
         336            -0.33007           -0.481444           0.0203879
         337           -0.220309           -0.480669           0.0203421
         338           -0.105257           -0.479559           0.0203122
         339          -0.0816556           -0.478385           0.0202862
         340            -0.12052           -0.477332           0.0202538
         341           -0.722964           -0.478053           0.0202072
         342           -0.722964           -0.478769           0.0201608
         343           -0.722964           -0.479481           0.0201146
         344           -0.722964           -0.480188           0.0200686
         345           -0.776999           -0.481049           0.0200289
