#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
            0.050698            0.267983             1.08671            -0.17749          0.00220258                0.88            -1.38669
              0.0505            0.294825             1.09555           -0.180195          0.00234713                0.76           0.0224517
            0.050302            0.171659             1.15687           -0.137698          0.00192797            0.626667            0.306106
            0.050104           -0.137909             1.16825           -0.139231          0.00221606            0.533333            0.870525
            0.049906           -0.263702             1.19015          -0.0111943          0.00203676            0.453333             1.71184
            0.049708          -0.0243264             1.14344           -0.160662          0.00203632                0.84           -0.789228
             0.04951           -0.269416             1.12458           -0.159256           0.0021277            0.906667             1.12866
            0.049312            0.051171             1.17228            -0.12091          0.00190238            0.586667           0.0943415
            0.049114           0.0655496              1.1688           -0.140442          0.00204044            0.586667           -0.317062
            0.048916             0.48916              1.1512           -0.117057          0.00183267            0.786667            0.255779
            0.048718            0.273124             1.17405          -0.0385181          0.00228946                   1           -0.109689
             0.04852           -0.157746             1.16376          -0.0833995          0.00193219            0.706667          -0.0523695
            0.048322            0.103227             1.12294           -0.191604          0.00229384            0.946667           -0.243124
            0.048124           -0.215174             1.11322           -0.169968          0.00217875            0.853333            -1.20493
            0.047926            0.185171             1.14018           -0.143832          0.00218063                0.72             1.38572
            0.047728            0.520368             1.09371          -0.0405135          0.00184911            0.866667            0.536179
             0.04753          -0.0115531             1.18745          -0.0800543          0.00203246            0.946667            -1.31112
            0.047332           -0.206542             1.15047           -0.118206          0.00177939            0.693333            0.410737
            0.047134          -0.0019325             1.13012           -0.177236          0.00220779                0.92            0.462257
            0.046936          -0.0468902             1.15794           -0.145526          0.00216641            0.426667            0.129706
            0.046738            0.137738             1.18002          -0.0854816          0.00194621            0.866667            0.962868
             0.04654          0.00247381             1.16095           -0.123691          0.00204463            0.866667           -0.564765
            0.046342          -0.0234431             1.13781           -0.185114          0.00216805                0.68           -0.213381
            0.046144            0.107922             1.16105            -0.16777          0.00214844            0.413333            0.220194
            0.045946           0.0948612             1.16098           -0.133696          0.00196992                0.92           -0.640983
            0.045748            0.174382             1.19006          -0.0477359          0.00231334                0.48           -0.291997
             0.04555           0.0554934             1.21621          -0.0658329          0.00174332                0.72           -0.309291
            0.045352            0.066042             1.16025           -0.105862          0.00218164                0.96            -1.38873
            0.045154          0.00319036             1.13963           -0.178919          0.00233741            0.746667            0.516583
            0.044956          -0.0225285             1.04235           -0.229565          0.00257542            0.666667           0.0244087
            0.044758           -0.135252             1.04744           -0.241228          0.00253617                0.96           -0.138157
             0.04456             0.58183            0.937535           -0.233305          0.00259529            0.933333            -0.93329
            0.044362           -0.127415            0.966762            -0.23171           0.0024016            0.933333            0.864239
            0.044164            0.146897             1.02367           -0.252037          0.00265412            0.933333          -0.0904766
            0.043966            0.069542            0.956648            -0.24951          0.00256119                0.84            -1.54798
            0.043768           0.0753567            0.964897           -0.246796          0.00254213            0.786667            0.812902
             0.04357           -0.346841            0.968758           -0.250741          0.00277441            0.946667           -0.556164
            0.043372            0.135822             1.03314             -0.2627          0.00269863                0.64           -0.938362
            0.043174            0.312943             1.05023           -0.212906           0.0024056            0.573333            -0.10798
            0.042976            0.122643             1.04807           -0.234336          0.00250706                0.84            0.154858
            0.042778            0.114023             1.10128           -0.203757          0.00228802            0.786667           -0.380372
             0.04258           0.0755869              1.1018           -0.199093          0.00267339            0.746667             -1.0037
            0.042382            0.254435             1.13551           -0.210067          0.00248813                 0.4            -1.68241
            0.042184            0.289891             1.12952           -0.142334          0.00226059            0.906667            0.369195
            0.041986            0.362295             1.09678           -0.132781           0.0019385            0.813333            0.318569
            0.041788            0.182726             1.07168           -0.220922          0.00243147            0.893333             1.23854
             0.04159           -0.491349             1.05758           -0.216451          0.00236077            0.786667           -0.812923
            0.041392           -0.210938             1.02412           -0.244122          0.00256238            0.906667           -0.688681
            0.041194           -0.489822             1.03286           -0.242519          0.00251371            0.386667            -1.19689
            0.040996           -0.151542             1.00076           -0.258329            0.002653                0.76           -0.159608
            0.040798           -0.318428            0.967839            -0.24351          0.00261752                0.92             0.12351
              0.0406            0.267539            0.954307            -0.25156           0.0026105            0.893333           -0.745212
            0.040402           0.0631964            0.945755           -0.241175          0.00247208                0.92          0.00920346
            0.040204           -0.591177            0.977278           -0.237385          0.00245194                0.88            0.214484
            0.040006           -0.486761             1.01645           -0.216602          0.00232201            0.986667           -0.629072
            0.039808            -0.24325               1.089           -0.188549           0.0022411            0.986667          -0.0790235
             0.03961            0.284106             1.11567           -0.194131           0.0021835            0.893333           -0.584943
            0.039412            0.157684              1.1213           -0.178334          0.00221001            0.933333            0.969265
            0.039214           -0.344823             1.05178           -0.204917          0.00235504                0.96           -0.882327
            0.039016           -0.160622             1.01554           -0.252888          0.00268601            0.933333           -0.594039
            0.038818           0.0315975            0.947373           -0.240727          0.00249567            0.973333           -0.155753
             0.03862           0.0876209            0.956281           -0.237051          0.00250005                0.92            0.140508
            0.038422            0.573672            0.892487           -0.268418          0.00280696                0.92             0.47621
            0.038224           -0.336828            0.916793           -0.260695          0.00273659            0.813333            0.945383
            0.038026           -0.258762            0.898178           -0.242887          0.00249182                0.84             1.44761
            0.037828           -0.617923            0.861576           -0.285077          0.00297601            0.533333            -1.65307
             0.03763           -0.528544             0.87251           -0.274343          0.00285018            0.586667            -1.96891
            0.037432           -0.447475            0.855832           -0.258447          0.00263762            0.813333            0.584721
            0.037234           -0.853863            0.802024           -0.244181          0.00263044            0.933333            -0.23568
            0.037036           -0.491365            0.757477           -0.244824          0.00249014                0.88            0.373723
            0.036838           -0.828183            0.742888           -0.339767          0.00346545            0.733333            -1.13469
             0.03664           -0.926497            0.717775            -0.26298          0.00281227                0.64             1.13393
